?x	?xl
<http://identifiers.org/hgnc/1482>	"CAPN5"
<http://identifiers.org/hgnc/7863>	"NNT"
<http://identifiers.org/hgnc/4400>	"GNB3"
<http://identifiers.org/hgnc/9678>	"PTPRO"
<http://identifiers.org/hgnc/28636>	"B9D2"
<http://identifiers.org/hgnc/32952>	"SNORD118"
<http://identifiers.org/hgnc/9457>	"PLPBP"
<http://identifiers.org/hgnc/9006>	"PITX3"
<http://identifiers.org/hgnc/19316>	"P3H1"
<http://identifiers.org/hgnc/6947>	"MCM4"
<http://identifiers.org/hgnc/9717>	"PEX2"
<http://identifiers.org/hgnc/3467>	"ESR1"
<http://identifiers.org/hgnc/28209>	"CEP19"
<http://identifiers.org/hgnc/3688>	"FGFR1"
<http://identifiers.org/hgnc/6949>	"MCM6"
<http://identifiers.org/hgnc/11786>	"THBS2"
<http://identifiers.org/hgnc/1736>	"CDC42"
<http://identifiers.org/hgnc/11495>	"SYN2"
<http://identifiers.org/hgnc/28093>	"BBIP1"
<http://identifiers.org/hgnc/4401>	"GNB5"
<http://identifiers.org/hgnc/10345>	"RPL35A"
<http://identifiers.org/hgnc/11356>	"STAG3"
<http://identifiers.org/hgnc/9679>	"PTPRQ"
<http://identifiers.org/hgnc/10418>	"RPS28"
<http://identifiers.org/hgnc/25583>	"ODAD2"
<http://identifiers.org/hgnc/13128>	"ZNF711"
<http://identifiers.org/hgnc/19317>	"P3H2"
<http://identifiers.org/hgnc/1546>	"SERPINH1"
<http://identifiers.org/hgnc/15868>	"ABHD12"
<http://identifiers.org/hgnc/23658>	"DELEC1"
<http://identifiers.org/hgnc/20207>	"B3GLCT"
<http://identifiers.org/hgnc/4800>	"HSD17B10"
<http://identifiers.org/hgnc/20716>	"KLC2"
<http://identifiers.org/hgnc/3689>	"FGFR2"
<http://identifiers.org/hgnc/4458>	"GPI"
<http://identifiers.org/hgnc/29450>	"GLIS2"
<http://identifiers.org/hgnc/18865>	"KCNT1"
<http://identifiers.org/hgnc/19309>	"KANK1"
<http://identifiers.org/hgnc/29300>	"KANK2"
<http://identifiers.org/hgnc/9016>	"PKHD1"
<http://identifiers.org/hgnc/30000>	"BBS9"
<http://identifiers.org/hgnc/7865>	"NODAL"
<http://identifiers.org/hgnc/13508>	"BPY2"
<http://identifiers.org/hgnc/14906>	"NIN"
<http://identifiers.org/hgnc/4092>	"GAD1"
<http://identifiers.org/hgnc/10419>	"RPS29"
<http://identifiers.org/hgnc/8820>	"PDYN"
<http://identifiers.org/hgnc/924>	"B4GALT1"
<http://identifiers.org/hgnc/30664>	"CLPB"
<http://identifiers.org/hgnc/1033>	"BDNF"
<http://identifiers.org/hgnc/16192>	"SLC17A9"
<http://identifiers.org/hgnc/11724>	"TEK"
<http://identifiers.org/hgnc/3026>	"DRD5"
<http://identifiers.org/hgnc/9719>	"PEX5"
<http://identifiers.org/hgnc/9008>	"PKD1"
<http://identifiers.org/hgnc/12298>	"TRH"
<http://identifiers.org/hgnc/4801>	"HADHA"
<http://identifiers.org/hgnc/28296>	"DYNC2I2"
<http://identifiers.org/hgnc/11503>	"SYNJ1"
<http://identifiers.org/hgnc/4803>	"HADHB"
<http://identifiers.org/hgnc/6255>	"KCNJ1"
<http://identifiers.org/hgnc/11497>	"SYNGAP1"
<http://identifiers.org/hgnc/10680>	"SDHA"
<http://identifiers.org/hgnc/13872>	"RIPOR2"
<http://identifiers.org/hgnc/4795>	"H6PD"
<http://identifiers.org/hgnc/16912>	"EMG1"
<http://identifiers.org/hgnc/4624>	"GSS"
<http://identifiers.org/hgnc/7562>	"MYD88"
<http://identifiers.org/hgnc/2475>	"CST3"
<http://identifiers.org/hgnc/923>	"B3GAT3"
<http://identifiers.org/hgnc/15574>	"RB1CC1"
<http://identifiers.org/hgnc/171>	"ACVR1"
<http://identifiers.org/hgnc/21024>	"CUL7"
<http://identifiers.org/hgnc/360>	"AIRE"
<http://identifiers.org/hgnc/18858>	"PIGM"
<http://identifiers.org/hgnc/4247>	"GGCX"
<http://identifiers.org/hgnc/25801>	"CPLANE1"
<http://identifiers.org/hgnc/600>	"APOA1"
<http://identifiers.org/hgnc/1698>	"CD79A"
<http://identifiers.org/hgnc/12665>	"VCL"
<http://identifiers.org/hgnc/9280>	"PPOX"
<http://identifiers.org/hgnc/9009>	"PKD2"
<http://identifiers.org/hgnc/7601>	"MYO3A"
<http://identifiers.org/hgnc/8490>	"ORC4"
<http://identifiers.org/hgnc/11727>	"TERC"
<http://identifiers.org/hgnc/6256>	"KCNJ10"
<http://identifiers.org/hgnc/12830>	"XRCC3"
<http://identifiers.org/hgnc/16412>	"NLRC4"
<http://identifiers.org/hgnc/10681>	"SDHB"
<http://identifiers.org/hgnc/11506>	"SYP"
<http://identifiers.org/hgnc/21708>	"CCM2"
<http://identifiers.org/hgnc/4796>	"HAAO"
<http://identifiers.org/hgnc/11194>	"SOX18"
<http://identifiers.org/hgnc/25403>	"SASS6"
<http://identifiers.org/hgnc/1739>	"CDC45"
<http://identifiers.org/hgnc/11359>	"STAR"
<http://identifiers.org/hgnc/3581>	"BPTF"
<http://identifiers.org/hgnc/7728>	"NEDD4L"
<http://identifiers.org/hgnc/361>	"AK1"
<http://identifiers.org/hgnc/11303>	"SRP72"
<http://identifiers.org/hgnc/23752>	"CERS3"
<http://identifiers.org/hgnc/30668>	"SRPX2"
<http://identifiers.org/hgnc/1699>	"CD79B"
<http://identifiers.org/hgnc/1371>	"CA12"
<http://identifiers.org/hgnc/29853>	"HECW2"
<http://identifiers.org/hgnc/12666>	"VCP"
<http://identifiers.org/hgnc/1748>	"CDH1"
